inicio,fin,cantidad_viajes
221 East 9th Street,1104 Flanagan Cove,273
Red River Street,"Barley Bean, South Lamar Boulevard",272
811 East Riverside Drive,1402 Hillmont Street,272
207 West 18th Street,2517 Walsh Tarlton Lane,272
4501 Rowood Road,709 West 6th Street,271
4504 Avenue C,3600 Presidential Boulevard,271
2605 Whitis Avenue,611 Fairfield Lane,269
2106 Shoalmont Drive,221 East 9th Street,269
207 West 18th Street,1915 East Martin Luther King Jr Boulevard,269
West 15th Street,1402 Hillmont Street,268
1157 Salina Street,3600 Presidential Boulevard,268
1402 Hillmont Street,1155 Curve Street,268
400 1/2 South 1st Street,2023 East 5th Street,268
3301 Hollywood Avenue,207 West 18th Street,268
1402 Hillmont Street,2008 Kinney Avenue,267
2605 Whitis Avenue,West Gibson Street,267
1915 East Martin Luther King Jr Boulevard,207 West 18th Street,266
3600 Presidential Boulevard,811 East Riverside Drive,265
3600 Presidential Boulevard,3600 Presidential Boulevard,264
1000 East 41st Street,207 West 18th Street,264
400 1/2 South 1st Street,2605 Whitis Avenue,263
1402 Hillmont Street,"Barley Bean, South Lamar Boulevard",262
Red River Street,2241 Cromwell Circle,262
1157 Salina Street,709 West 6th Street,262
400 1/2 South 1st Street,1702 Briar Street,261
709 West 6th Street,4368 Freidrich Lane,261
207 West 18th Street,1403 East 2nd Street,261
1400 South Pleasant Valley Road,1402 Hillmont Street,260
221 East 9th Street,1106 Clayton Lane,260
1402 Hillmont Street,2023 East 5th Street,260
1155 Curve Street,2023 East 5th Street,258
1915 East Martin Luther King Jr Boulevard,1403 East 2nd Street,258
"Cambria Hotel Austin Airport, Discovery Lane",Red River Street,257
1903 Fairlawn Lane,1402 Hillmont Street,256
2207 De Verne Street,Red River Street,256
Red River Street,1911 Lightsey Road,256
709 West 6th Street,3811 Avenue H,255
Reserve Road,West Gibson Street,255
1702 Briar Street,400 1/2 South 1st Street,255
Gillis District Park Trail,1402 Hillmont Street,255
1104 Flanagan Cove,709 West 6th Street,253
106 East 55th Street,709 West 6th Street,252
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",3600 Presidential Boulevard,252
West Gibson Street,2002 Dexter Street,252
Nash Hernandez Sr Road,1402 Hillmont Street,251
2605 Whitis Avenue,2106 West 7th Street,251
1157 Salina Street,Red River Street,251
2505 Longview Street,2106 West 7th Street,250
"Riverside Golf Course, 1020 Grove Boulevard",709 West 6th Street,249
709 West 6th Street,106 East 55th Street,249
2207 De Verne Street,3600 Presidential Boulevard,249
2500 Candlewood Court,1402 Hillmont Street,248
2908 Beanna Street,2908 Beanna Street,247
2505 Longview Street,1000 East 41st Street,246
221 East 9th Street,3400 Catalina Drive,246
Red River Street,3001 South Congress Avenue,246
2008 Kinney Avenue,West Gibson Street,246
2605 Whitis Avenue,4200 North Lamar Boulevard,246
"Barley Bean, South Lamar Boulevard",3600 Presidential Boulevard,245
Lady Bird Lake Hike and Bike Trail,221 East 9th Street,245
1402 Hillmont Street,3001 South Congress Avenue,244
3600 Presidential Boulevard,1903 Fairlawn Lane,244
2023 East 5th Street,400 1/2 South 1st Street,244
400 1/2 South 1st Street,1155 Curve Street,243
West Gibson Street,2505 Longview Street,243
1402 Hillmont Street,Reserve Road,243
221 East 9th Street,2106 Shoalmont Drive,243
1106 Clayton Lane,221 East 9th Street,242
221 East 9th Street,600 Hammack Drive,241
4504 Avenue C,Red River Street,241
3600 Presidential Boulevard,Reserve Road,241
2505 Longview Street,400 1/2 South 1st Street,240
2500 Candlewood Court,3600 Presidential Boulevard,240
West Gibson Street,313 Lone Oak Drive,239
3600 Presidential Boulevard,4368 Freidrich Lane,239
1104 Flanagan Cove,3600 Presidential Boulevard,239
709 West 6th Street,"St. Edwards University, 3001 South Congress Avenue",239
709 West 6th Street,2241 Cromwell Circle,238
2517 Walsh Tarlton Lane,207 West 18th Street,238
1155 Curve Street,400 1/2 South 1st Street,237
4504 Avenue C,2605 Whitis Avenue,237
Red River Street,2400 East Oltorf Street,237
West 15th Street,West 15th Street,237
909 East Koenig Lane,909 East Koenig Lane,236
West Gibson Street,2605 Whitis Avenue,235
611 Fairfield Lane,2605 Whitis Avenue,235
4504 Avenue C,207 West 18th Street,235
3811 Avenue H,709 West 6th Street,235
2106 West 7th Street,3600 Presidential Boulevard,234
West 15th Street,West Gibson Street,234
3600 Presidential Boulevard,1911 Lightsey Road,234
3707 South 2nd Street,3001 South Congress Avenue,233
3600 Presidential Boulevard,North Mopac Service Road,233
"Riverside Golf Course, 1020 Grove Boulevard",207 West 18th Street,233
1402 Hillmont Street,1911 Lightsey Road,233
611 Fairfield Lane,3600 Presidential Boulevard,233
1400 South Pleasant Valley Road,2605 Whitis Avenue,232
3600 Presidential Boulevard,3707 South 2nd Street,231
709 West 6th Street,1517 Summer Stone Drive,230
207 West 18th Street,"Riverside Golf Course, 1020 Grove Boulevard",229
