inicio,fin,cantidad_viajes
709 West 6th Street,"Riverside Golf Course, 1020 Grove Boulevard",217
3304 Guadalupe Street,2908 Beanna Street,217
"Riverside Golf Course, 1020 Grove Boulevard",2605 Whitis Avenue,217
Reserve Road,2605 Whitis Avenue,216
1702 Briar Street,1403 East 2nd Street,216
Red River Street,2904 Barton Skyway,216
1104 Flanagan Cove,1402 Hillmont Street,216
1402 Hillmont Street,1500 Royal Crest Drive,216
207 West 18th Street,3301 Hollywood Avenue,215
2605 Whitis Avenue,3811 Avenue H,215
1403 East 2nd Street,2605 Whitis Avenue,215
1402 Hillmont Street,313 Lone Oak Drive,215
"St. Edwards University, 3001 South Congress Avenue",709 West 6th Street,214
North Mopac Service Road,North Mopac Service Road,213
4501 Rowood Road,Red River Street,213
3707 South 2nd Street,1402 Hillmont Street,213
709 West 6th Street,490 Little Texas Lane,212
2505 Longview Street,Reserve Road,212
709 West 6th Street,1928 Holly Hill Drive,211
2605 Whitis Avenue,1155 Curve Street,211
3001 South Congress Avenue,West Gibson Street,211
2002 Dexter Street,West Gibson Street,211
221 East 9th Street,9669 New Airport Drive,210
4368 Freidrich Lane,709 West 6th Street,210
709 West 6th Street,41 Margranita Crescent,209
709 West 6th Street,2106 Shoalmont Drive,209
1403 East 2nd Street,1702 Briar Street,209
709 West 6th Street,3819 Jefferson Street,208
709 West 6th Street,1204 West 29th Street,208
1204 West 29th Street,709 West 6th Street,208
Red River Street,Ann & Roy Butler Hike and Bike Trail,208
2207 De Verne Street,1402 Hillmont Street,207
1702 Briar Street,1702 Briar Street,207
3600 Presidential Boulevard,1104 Flanagan Cove,207
221 East 9th Street,"Panera Bread, North Capital of Texas Highway",207
709 West 6th Street,Ann & Roy Butler Hike and Bike Trail,206
Lady Bird Lake Hike and Bike Trail,709 West 6th Street,206
5209 North Lamar Boulevard,2505 Longview Street,206
3600 Presidential Boulevard,2008 Kinney Avenue,205
709 West 6th Street,North Mopac Service Road,205
2023 East 5th Street,207 West 18th Street,205
490 Little Texas Lane,Red River Street,204
3400 Catalina Drive,709 West 6th Street,204
West Gibson Street,Reserve Road,204
4200 North Lamar Boulevard,2605 Whitis Avenue,204
Red River Street,4200 North Lamar Boulevard,203
1402 Hillmont Street,811 East Riverside Drive,203
1400 South Pleasant Valley Road,"Riverside Golf Course, 1020 Grove Boulevard",203
400 1/2 South 1st Street,2505 Longview Street,202
2400 East Oltorf Street,3600 Presidential Boulevard,201
2106 Shoalmont Drive,709 West 6th Street,201
2605 Whitis Avenue,Reserve Road,201
313 Lone Oak Drive,1403 East 2nd Street,201
400 1/2 South 1st Street,313 Lone Oak Drive,201
3811 Avenue H,207 West 18th Street,201
1403 East 2nd Street,1157 Salina Street,200
Red River Street,5209 North Lamar Boulevard,200
207 West 18th Street,Reserve Road,199
1402 Hillmont Street,West 15th Street,198
811 East Riverside Drive,West Gibson Street,198
1915 East Martin Luther King Jr Boulevard,2023 East 5th Street,198
North Mopac Service Road,709 West 6th Street,198
2605 Whitis Avenue,1915 East Martin Luther King Jr Boulevard,198
1629 West 11 1/2 Street,1402 Hillmont Street,198
3600 Presidential Boulevard,2002 Dexter Street,197
3811 Avenue H,Red River Street,197
1731 East 38½ Street,3600 Presidential Boulevard,197
2605 Whitis Avenue,1403 East 2nd Street,197
221 East 9th Street,2305 Newfield Lane,197
South Interstate 35,Red River Street,197
1731 East 38½ Street,709 West 6th Street,196
1155 Curve Street,2505 Longview Street,196
2505 Longview Street,1403 East 2nd Street,196
Red River Street,South Interstate 35,195
3708 Meredith Street,221 East 9th Street,195
1403 East 2nd Street,313 Lone Oak Drive,194
490 Little Texas Lane,709 West 6th Street,194
Reserve Road,Reserve Road,194
221 East 9th Street,"St. Francis School, Twin Crest Drive",194
Reserve Road,400 1/2 South 1st Street,193
3304 Guadalupe Street,3304 Guadalupe Street,193
Ann & Roy Butler Hike and Bike Trail,3600 Presidential Boulevard,193
1204 West 29th Street,2505 Longview Street,192
Lady Bird Lake Hike and Bike Trail,Red River Street,191
Red River Street,4504 Avenue C,191
41 Margranita Crescent,709 West 6th Street,190
3600 Presidential Boulevard,1915 East Martin Luther King Jr Boulevard,190
1629 West 11 1/2 Street,207 West 18th Street,189
1517 Summer Stone Drive,709 West 6th Street,189
1000 East 41st Street,709 West 6th Street,189
2505 Longview Street,1204 West 29th Street,188
2605 Whitis Avenue,1400 South Pleasant Valley Road,188
3600 Presidential Boulevard,1157 Salina Street,187
"Cambria Hotel Austin Airport, Discovery Lane",709 West 6th Street,187
5209 North Lamar Boulevard,3600 Presidential Boulevard,186
709 West 6th Street,3708 Meredith Street,186
106 East 55th Street,Red River Street,185
"Riverside Golf Course, 1020 Grove Boulevard",Red River Street,185
1500 Royal Crest Drive,West Gibson Street,185
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",709 West 6th Street,185
221 East 9th Street,2600 La Ronde Street,184
709 West 6th Street,Lady Bird Lake Hike and Bike Trail,184
4368 Freidrich Lane,West Gibson Street,184
Ann & Roy Butler Hike and Bike Trail,709 West 6th Street,184
709 West 6th Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",184
1402 Hillmont Street,Gillis District Park Trail,183
2517 Walsh Tarlton Lane,221 East 9th Street,183
3819 Jefferson Street,709 West 6th Street,183
400 1/2 South 1st Street,1500 Royal Crest Drive,183
3819 Jefferson Street,221 East 9th Street,182
2305 Newfield Lane,221 East 9th Street,182
400 1/2 South 1st Street,Reserve Road,182
2106 West 7th Street,207 West 18th Street,182
North Mopac Service Road,Red River Street,181
Arboretum Boulevard,3600 Presidential Boulevard,181
3707 South 2nd Street,West Gibson Street,181
1157 Salina Street,1403 East 2nd Street,180
3600 Presidential Boulevard,3811 Avenue H,180
2793 East 7th Street,709 West 6th Street,180
7088 Easy Wind Drive,221 East 9th Street,179
"Panera Bread, North Capital of Texas Highway",3600 Presidential Boulevard,179
3600 Presidential Boulevard,2908 Beanna Street,179
1155 Curve Street,2605 Whitis Avenue,179
221 East 9th Street,405 East Ben White Boulevard,179
1402 Hillmont Street,4368 Freidrich Lane,177
West Gibson Street,1500 Royal Crest Drive,177
2505 Longview Street,4200 North Lamar Boulevard,177
3600 Presidential Boulevard,4504 Avenue C,177
1903 Fairlawn Lane,West Gibson Street,176
1500 Royal Crest Drive,2023 East 5th Street,176
South Interstate 35,709 West 6th Street,176
2908 Beanna Street,3304 Guadalupe Street,176
Red River Street,"Riverside Golf Course, 1020 Grove Boulevard",175
2023 East 5th Street,1915 East Martin Luther King Jr Boulevard,175
2507 Bridle Path,Red River Street,175
1403 East 2nd Street,3301 Hollywood Avenue,175
313 Lone Oak Drive,3001 South Congress Avenue,174
1402 Hillmont Street,1629 West 11 1/2 Street,174
1911 Lightsey Road,West Gibson Street,174
1629 West 11 1/2 Street,West Gibson Street,174
West Gibson Street,811 East Riverside Drive,173
Red River Street,490 Little Texas Lane,173
1403 East 2nd Street,West 15th Street,173
1402 Hillmont Street,2500 Candlewood Court,173
221 East 9th Street,1928 Holly Hill Drive,172
West 15th Street,2908 Beanna Street,172
709 West 6th Street,3400 Catalina Drive,172
1629 West 11 1/2 Street,1403 East 2nd Street,172
Ann & Roy Hike & Bike Trail,221 East 9th Street,172
Red River Street,611 Fairfield Lane,172
Red River Street,4501 Rowood Road,171
Red River Street,Lady Bird Lake Hike and Bike Trail,171
2793 East 7th Street,Red River Street,171
207 West 18th Street,1629 West 11 1/2 Street,171
West Gibson Street,2008 Kinney Avenue,170
3708 Meredith Street,709 West 6th Street,170
2517 Walsh Tarlton Lane,2605 Whitis Avenue,169
2907 Townes Lane,709 West 6th Street,169
Reserve Road,1403 East 2nd Street,169
207 West 18th Street,611 Fairfield Lane,169
3600 Presidential Boulevard,611 Fairfield Lane,168
709 West 6th Street,2907 Townes Lane,168
221 East 9th Street,2117 West 49th Street,168
3600 Presidential Boulevard,2500 Candlewood Court,168
2241 Cromwell Circle,3600 Presidential Boulevard,168
"St. Edwards University, 3001 South Congress Avenue",3600 Presidential Boulevard,168
Red River Street,9669 New Airport Drive,168
709 West 6th Street,2600 La Ronde Street,167
313 Lone Oak Drive,400 1/2 South 1st Street,167
709 West 6th Street,2793 East 7th Street,167
1400 South Pleasant Valley Road,1400 South Pleasant Valley Road,167
1629 West 11 1/2 Street,400 1/2 South 1st Street,166
221 East 9th Street,2203 Philomena Street,166
West Gibson Street,Nash Hernandez Sr Road,166
1402 Hillmont Street,1903 Fairlawn Lane,166
2203 Philomena Street,221 East 9th Street,166
2106 Shoalmont Drive,3600 Presidential Boulevard,166
221 East 9th Street,2517 Walsh Tarlton Lane,165
Reserve Road,2505 Longview Street,165
2023 East 5th Street,1500 Royal Crest Drive,165
2505 Longview Street,4504 Avenue C,164
2305 Newfield Lane,Red River Street,164
1403 East 2nd Street,1400 South Pleasant Valley Road,164
1915 East Martin Luther King Jr Boulevard,2605 Whitis Avenue,164
2605 Whitis Avenue,2002 Dexter Street,164
4200 North Lamar Boulevard,3600 Presidential Boulevard,164
709 West 6th Street,1000 East 41st Street,163
1400 South Pleasant Valley Road,1403 East 2nd Street,163
221 East 9th Street,3708 Meredith Street,163
221 East 9th Street,4707 Weidemar Lane,163
1402 Hillmont Street,1400 South Pleasant Valley Road,162
West Gibson Street,3001 South Congress Avenue,162
2108 White Horse Trail,221 East 9th Street,162
1204 West 29th Street,2605 Whitis Avenue,162
3600 Presidential Boulevard,2106 West 7th Street,162
221 East 9th Street,Ann & Roy Hike & Bike Trail,162
2305 Newfield Lane,3600 Presidential Boulevard,162
2517 Walsh Tarlton Lane,Red River Street,162
1000 East 41st Street,3600 Presidential Boulevard,161
1402 Hillmont Street,2207 De Verne Street,161
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",Red River Street,161
221 East 9th Street,2907 Townes Lane,161
5606 Penick Drive,221 East 9th Street,161
400 1/2 South 1st Street,West 15th Street,161
3600 Presidential Boulevard,4501 Rowood Road,161
3600 Presidential Boulevard,2207 De Verne Street,161
207 West 18th Street,2002 Dexter Street,160
2605 Whitis Avenue,2517 Walsh Tarlton Lane,160
1400 South Pleasant Valley Road,2023 East 5th Street,160
Red River Street,North Mopac Service Road,160
600 Hammack Drive,221 East 9th Street,159
2605 Whitis Avenue,"Riverside Golf Course, 1020 Grove Boulevard",159
1403 East 2nd Street,2505 Longview Street,159
611 Fairfield Lane,1403 East 2nd Street,158
1104 Flanagan Cove,Red River Street,158
3600 Presidential Boulevard,"Barley Bean, South Lamar Boulevard",158
11405 Alterra Parkway,"Panera Bread, North Capital of Texas Highway",158
1402 Hillmont Street,1104 Flanagan Cove,157
2908 Beanna Street,West 15th Street,157
Red River Street,1104 Flanagan Cove,157
490 Little Texas Lane,3600 Presidential Boulevard,156
2605 Whitis Avenue,1204 West 29th Street,156
2505 Longview Street,611 Fairfield Lane,156
611 Fairfield Lane,207 West 18th Street,156
West 15th Street,400 1/2 South 1st Street,156
709 West 6th Street,South Interstate 35,156
221 East 9th Street,Arboretum Boulevard,155
3600 Presidential Boulevard,2400 East Oltorf Street,155
1402 Hillmont Street,3707 South 2nd Street,155
1403 East 2nd Street,1629 West 11 1/2 Street,155
490 Little Texas Lane,1402 Hillmont Street,154
Nash Hernandez Sr Road,1403 East 2nd Street,154
Nash Hernandez Sr Road,West Gibson Street,154
948 East 50th Street,709 West 6th Street,154
313 Lone Oak Drive,313 Lone Oak Drive,153
106 East 55th Street,3600 Presidential Boulevard,153
709 West 6th Street,948 East 50th Street,153
"Panera Bread, North Capital of Texas Highway",11405 Alterra Parkway,153
1928 Holly Hill Drive,221 East 9th Street,153
2117 West 49th Street,221 East 9th Street,152
4504 Avenue C,2505 Longview Street,152
1629 West 11 1/2 Street,1629 West 11 1/2 Street,152
221 East 9th Street,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",152
1500 Royal Crest Drive,400 1/2 South 1st Street,152
West 15th Street,3304 Guadalupe Street,152
909 East Koenig Lane,1402 Hillmont Street,152
3001 South Congress Avenue,3707 South 2nd Street,151
2241 Cromwell Circle,2241 Cromwell Circle,151
2505 Longview Street,909 East Koenig Lane,151
2793 East 7th Street,3600 Presidential Boulevard,151
Lady Bird Lake Hike and Bike Trail,2605 Whitis Avenue,150
207 West 18th Street,3811 Avenue H,150
41 Margranita Crescent,221 East 9th Street,150
"Popeyes, Cactus Lane",221 East 9th Street,150
709 West 6th Street,"Cambria Hotel Austin Airport, Discovery Lane",150
207 West 18th Street,Lady Bird Lake Hike and Bike Trail,150
709 West 6th Street,7088 Easy Wind Drive,150
221 East 9th Street,"Popeyes, Cactus Lane",149
5209 North Lamar Boulevard,207 West 18th Street,149
207 West 18th Street,5209 North Lamar Boulevard,149
Gillis District Park Trail,400 1/2 South 1st Street,149
"St. Edwards University, 3001 South Congress Avenue",Red River Street,149
490 Little Texas Lane,3001 South Congress Avenue,148
3301 Hollywood Avenue,1403 East 2nd Street,148
3600 Presidential Boulevard,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",148
1403 East 2nd Street,Reserve Road,148
400 1/2 South 1st Street,2008 Kinney Avenue,147
4200 North Lamar Boulevard,2505 Longview Street,147
207 West 18th Street,4200 North Lamar Boulevard,147
3301 Hollywood Avenue,1402 Hillmont Street,147
221 East 9th Street,5606 Penick Drive,147
207 West 18th Street,4504 Avenue C,147
221 East 9th Street,1419 Corona Drive,147
207 West 18th Street,1157 Salina Street,146
1629 West 11 1/2 Street,2106 West 7th Street,146
2106 West 7th Street,2106 West 7th Street,146
West Gibson Street,4368 Freidrich Lane,145
1204 West 29th Street,Red River Street,145
Red River Street,106 East 55th Street,145
2605 Whitis Avenue,Lady Bird Lake Hike and Bike Trail,145
3600 Presidential Boulevard,5209 North Lamar Boulevard,145
2907 Townes Lane,221 East 9th Street,145
4707 Weidemar Lane,221 East 9th Street,144
2400 East Oltorf Street,West Gibson Street,144
709 West 6th Street,2517 Walsh Tarlton Lane,144
2800 Tom Miller Street,221 East 9th Street,144
"Panera Bread, North Capital of Texas Highway",221 East 9th Street,144
Arboretum Boulevard,221 East 9th Street,144
North Mopac Service Road,11405 Alterra Parkway,144
3600 Presidential Boulevard,"Panera Bread, North Capital of Texas Highway",144
948 East 50th Street,207 West 18th Street,143
2023 East 5th Street,313 Lone Oak Drive,143
2800 Tom Miller Street,3600 Presidential Boulevard,143
5001 Wasson Road,221 East 9th Street,143
400 1/2 South 1st Street,1629 West 11 1/2 Street,143
709 West 6th Street,600 Hammack Drive,143
"St. Francis School, Twin Crest Drive",221 East 9th Street,143
3001 South Congress Avenue,313 Lone Oak Drive,143
"Riverside Golf Course, 1020 Grove Boulevard",1400 South Pleasant Valley Road,143
11405 Alterra Parkway,North Mopac Service Road,143
"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",1403 East 2nd Street,142
2008 Kinney Avenue,2008 Kinney Avenue,142
2106 West 7th Street,2605 Whitis Avenue,142
3309 East 17th Street,221 East 9th Street,142
1419 Corona Drive,221 East 9th Street,142
2605 Whitis Avenue,3708 Meredith Street,141
7100 Carver Avenue,709 West 6th Street,141
3304 Guadalupe Street,West 15th Street,141
West Gibson Street,1629 West 11 1/2 Street,141
709 West 6th Street,"Trader Joes, 2805 Bee Caves Road",141
1517 Summer Stone Drive,3600 Presidential Boulevard,140
7088 Easy Wind Drive,709 West 6th Street,140
West Gibson Street,1903 Fairlawn Lane,140
2400 East Oltorf Street,1403 East 2nd Street,140
909 East Koenig Lane,2505 Longview Street,139
1403 East 2nd Street,Nash Hernandez Sr Road,139
1402 Hillmont Street,Nash Hernandez Sr Road,139
2400 East Oltorf Street,1402 Hillmont Street,139
1903 Fairlawn Lane,400 1/2 South 1st Street,139
East 20th Street,East 20th Street,139
2008 Kinney Avenue,400 1/2 South 1st Street,138
Red River Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",137
2002 Dexter Street,1402 Hillmont Street,137
West Gibson Street,Gillis District Park Trail,137
2023 East 5th Street,1702 Briar Street,137
221 East 9th Street,2800 Tom Miller Street,136
3600 Presidential Boulevard,East 20th Street,136
1702 Briar Street,2023 East 5th Street,136
3600 Presidential Boulevard,2305 Newfield Lane,136
2023 East 5th Street,1629 West 11 1/2 Street,135
2505 Longview Street,3301 Hollywood Avenue,135
